sim_num,N,model_type,mse,coverage,ci_length,mspe,pred_cov
9,5000,hs_stan,0.0015905688363543583,1,0.20391149034193912,0.7121819078567377,NA
9,5000,lasso_stan,0.004525461680368047,0.8933333333333333,0.3095567738497315,0.7099152612931907,NA
9,5000,ridge_stan,0.005735415588224537,0.84,0.23471253359165667,0.7172734117101522,NA
8,5000,hs_stan,0.0015999533693915155,1,0.2973544267885702,0.7058276563844028,NA
8,5000,lasso_stan,0.006958833185344886,0.9333333333333333,0.44014159421619986,0.7078054678501331,NA
8,5000,ridge_stan,0.011462293832570941,0.8933333333333333,0.33006734467332444,0.7104576760008225,NA
7,5000,hs_stan,0.002182860042312663,1,0.3708404470745961,0.6583541098838347,NA
7,5000,lasso_stan,0.006448835858644203,0.96,0.40290095545412574,0.6546018071576749,NA
7,5000,ridge_stan,0.009271974424624086,0.9066666666666666,0.3017287898800984,0.6543297322914646,NA
6,5000,hs_stan,0.0015336929531517582,1,0.3818923641356938,0.6985621478346162,NA
6,5000,lasso_stan,0.005052320301448057,0.9866666666666667,0.42453546740344594,0.7033361212732596,NA
6,5000,ridge_stan,0.01015405635188095,0.92,0.3120796666890819,0.7131475812244313,NA
5,5000,hs_stan,0.001158735246145707,1,0.16287861476663354,0.7151127870049742,NA
5,5000,lasso_stan,0.0024568885250722703,0.9866666666666667,0.31102688856419286,0.715838824800941,NA
5,5000,ridge_stan,0.005349941163571946,0.88,0.22493215426232263,0.7245683621388299,NA
4,5000,hs_stan,0.0021100286690686194,0.9866666666666667,0.3005154626693996,0.6897944370201433,NA
4,5000,lasso_stan,0.003000341067904357,0.9733333333333334,0.35862017390763423,0.6942126098819248,NA
4,5000,ridge_stan,0.007267393998226197,0.9066666666666666,0.2606197551060653,0.7056809025117209,NA
3,5000,hs_stan,0.0034424725053400092,0.9866666666666667,0.28219820927933764,0.6767631044696839,NA
3,5000,lasso_stan,0.004116764221195934,1,0.459235651091476,0.6759229133185755,NA
3,5000,ridge_stan,0.01378675793548014,0.88,0.33403706552359586,0.6824087990650413,NA
2,5000,hs_stan,0.005272236714350031,0.9866666666666667,0.37231847860541495,0.6993867855314864,NA
2,5000,lasso_stan,0.012345776350625422,0.9866666666666667,0.571616192966823,0.6966429003539183,NA
2,5000,ridge_stan,0.021312968764917523,0.84,0.4350571806950523,0.7055077983231921,NA
15,5000,hs_stan,0.0015118374002305792,1,0.2481310340229983,0.6646213482854187,NA
15,5000,lasso_stan,0.005491129497324639,0.92,0.39168619246648867,0.6648459722373488,NA
15,5000,ridge_stan,0.004808473159520279,0.96,0.29230049184348406,0.6670825654433954,NA
14,5000,hs_stan,0.002119445766551812,0.9866666666666667,0.20716375256771896,0.7107343573519931,NA
14,5000,lasso_stan,0.0059078757017269785,0.9066666666666666,0.34557727614843897,0.7192882183475312,NA
14,5000,ridge_stan,0.011996551679261823,0.72,0.2615841008115023,0.7184747017069458,NA
