sim_num,N,sim_type,model_type,mse,coverage,ci_length,auc_roc,auc_pr,ppv,rand
9,500,probit,hs_gibbs,0.017743413367371244,0.98,0.5000756452349221,0.9522727272727273,0.7887382287599388,0.6825396825396826,0.8848979591836734
9,500,probit,lasso_gibbs,0.01613581318471748,0.98,0.6031954739262209,0.9453409090909091,0.7628646115659821,0.6615384615384615,0.8848979591836734
9,500,probit,ridge_gibbs,0.02964019866771646,0.94,0.689540881679123,0.9397537878787878,0.7516078808781675,0.6027397260273972,0.8163265306122449
8,500,probit,hs_gibbs,0.03349088257903144,0.96,0.4908115995744737,0.9610301592680447,0.9698320318210755,0.8566666666666667,0.8848979591836734
8,500,probit,lasso_gibbs,0.03467191136782136,0.98,0.6501024096890936,0.9557696341837311,0.9657386621881926,0.8443708609271523,0.9216326530612244
8,500,probit,ridge_gibbs,0.03672681470969493,0.96,0.6792135526209033,0.9519452647205952,0.9631239742688369,0.8469387755102041,0.8848979591836734
7,500,probit,hs_gibbs,0.014558866016101438,0.96,0.3917536879327256,0.9543034076796135,0.9717330121040334,0.8913738019169329,0.7844897959183673
7,500,probit,lasso_gibbs,0.03657792603071068,0.92,0.5819940305003345,0.9544480171489818,0.9715925247288478,0.8949044585987261,0.7542857142857142
7,500,probit,ridge_gibbs,0.027198961310024156,0.92,0.6097293283269826,0.9532230898790385,0.970888720283054,0.9009584664536742,0.7542857142857142
6,500,probit,hs_gibbs,0.005509681890774403,1,0.40091806052632395,0.9752848263012975,0.967313628030536,0.8502202643171806,0.9216326530612244
6,500,probit,lasso_gibbs,0.01225826464699589,1,0.6257664160742542,0.9690194720614664,0.959646884800589,0.8551401869158879,0.9216326530612244
6,500,probit,ridge_gibbs,0.016579853423484867,1,0.5927136364943457,0.965227283968937,0.9556005688068062,0.8450704225352113,0.9216326530612244
50,500,probit,hs_gibbs,0.004366685443825586,1,0.3535690230350566,0.944923379364798,0.9540488342948407,0.8618181818181818,0.96
50,500,probit,lasso_gibbs,0.011033661987628786,0.96,0.4593570339925163,0.9378172384343931,0.9483555968825603,0.8436363636363636,0.9216326530612244
50,500,probit,ridge_gibbs,0.01383706202181557,0.96,0.4597769259220916,0.9322499556873298,0.9434867419079169,0.8528301886792453,0.9216326530612244
5,500,probit,hs_gibbs,0.007988632108977147,0.98,0.41534194937658664,0.9300572890594583,0.9937912308033359,0.9606126914660832,0.8848979591836734
5,500,probit,lasso_gibbs,0.013595926366074599,0.98,0.605163831570126,0.9240224706602147,0.9931678063850636,0.9665924276169265,0.8848979591836734
5,500,probit,ridge_gibbs,0.019690203026465902,0.94,0.5240666591901072,0.9122309360921075,0.9919561038911702,0.9584245076586433,0.9216326530612244
49,500,probit,hs_gibbs,0.011386084115338977,0.98,0.4101936912600504,0.9668188417204526,0.9829819427690903,0.9424920127795527,0.8848979591836734
