sim_num,N,model_type,mse,coverage,ci_length,mspe,pred_cov,rand_ind,nz_coverage,nz_mse
3,5000,hs_svi_indep,0.013274823298380445,0.8133333333333334,0.23209084705674157,0.6827076041811077,0.96,0.7859459459459459,0.6,0.029625022782572313
3,5000,hs_svi_corr,0.020489358305578537,0.76,0.29763601097893905,0.6924612219018422,0.96,0.7275675675675676,0.4666666666666667,0.04163507356378234
3,5000,hs_cavi_indep,0.002720307688462374,0.9333333333333333,0.1915017526963388,0.6740889623890999,0.96,0.9221621621621622,0.7333333333333333,0.008113021828179173
3,5000,hs_cavi_corr,0.0027951315344709048,1,0.2231782507302119,0.6742082538157528,0.96,0.9473873873873874,1,0.007955857040930705
3,5000,lasso_svi_indep,0.045887061363766954,0.5733333333333334,0.32671633731768546,0.7007042042673114,0.97,0.532972972972973,0.5333333333333333,0.05426825767533484
3,5000,lasso_svi_corr,0.009523812218778946,0.9466666666666667,0.40815271515202894,0.6801131045654047,0.968,0.8738738738738738,1,0.010696453446546317
3,5000,lasso_cavi_indep,0.005049391484214423,0.8666666666666667,0.23722620592438184,0.6757696112519124,0.96,0.8068468468468468,0.8,0.006864213659620973
3,5000,lasso_cavi_corr,0.005030523614915897,0.9866666666666667,0.299462795180156,0.6757086161810535,0.96,0.9221621621621622,1,0.006801880338616815
3,5000,ridge_svi_indep,0.04758151937986956,0.6533333333333333,0.39096241682499105,0.6871749896737152,0.99,0.6446846846846848,0.3333333333333333,0.14005532947797267
3,5000,ridge_svi_corr,0.014734909831428798,0.92,0.4238972981813625,0.6809205420633375,0.976,0.8068468468468468,1,0.007263474890592175
3,5000,ridge_cavi_indep,0.005847446290359859,0.84,0.24469924730146894,0.6757032751716291,0.96,0.7657657657657657,0.8,0.007618908744891384
3,5000,ridge_cavi_corr,0.005845646541588024,0.9866666666666667,0.31466471279251024,0.6756886531745804,0.96,0.9221621621621622,1,0.0075990425014612634
2,5000,hs_svi_indep,0.024692882017067593,0.6666666666666666,0.3078820725367433,0.7194833151429235,0.924,0.5913513513513513,0.6666666666666666,0.02973152368440347
2,5000,hs_svi_corr,0.034003081715659515,0.8,0.39113977417638623,0.7069388477637409,0.936,0.7657657657657657,0.6,0.09953733778714093
2,5000,hs_cavi_indep,0.006032739676226156,0.9066666666666666,0.2504637397696669,0.6996157411558522,0.938,0.8976576576576577,0.6666666666666666,0.01953858998305638
2,5000,hs_cavi_corr,0.0061534456422665945,0.9333333333333333,0.2922040053710178,0.6997348996519817,0.938,0.9221621621621622,0.7333333333333333,0.01912958162476253
2,5000,lasso_svi_indep,0.09798566802455758,0.52,0.4305916779016575,0.7501601885345934,0.964,0.5084684684684685,0.6,0.06937810809668059
2,5000,lasso_svi_corr,0.04078024753739837,0.8133333333333334,0.5840768460105338,0.7175185442902791,0.974,0.6922522522522523,0.8666666666666667,0.05356415916489573
2,5000,lasso_cavi_indep,0.009649404027713911,0.8933333333333333,0.3123108586000143,0.7009568514911483,0.936,0.8738738738738738,0.7333333333333333,0.01672816486650213
2,5000,lasso_cavi_corr,0.009642619069386314,0.92,0.39399385134882275,0.7010085183877298,0.936,0.8738738738738738,0.8,0.01669774008523839
2,5000,ridge_svi_indep,0.16074519929004535,0.5733333333333334,0.5853383978800849,0.7589229878282806,0.99,0.532972972972973,0.4,0.221008308426806
2,5000,ridge_svi_corr,0.04498294120605402,0.8133333333333334,0.5724651710121054,0.7112268587103877,0.962,0.7275675675675676,0.7333333333333333,0.047892716834743165
2,5000,ridge_cavi_indep,0.010655316587215129,0.88,0.32215112921403927,0.7012527429404548,0.936,0.8508108108108108,0.7333333333333333,0.017268071795671094
2,5000,ridge_cavi_corr,0.010643614903080878,0.92,0.41379392754413724,0.701252491849902,0.936,0.8976576576576577,0.8,0.017180660480415142
1,5000,hs_svi_indep,0.00557618628852344,0.7333333333333333,0.14737153517882068,0.6785524667489933,0.948,0.6446846846846848,0.7333333333333333,0.004059383738964332
1,5000,hs_svi_corr,0.006402205242055816,0.8133333333333334,0.18875097797296742,0.6837225688526664,0.95,0.7095495495495496,0.8666666666666667,0.006120025995943269
1,5000,hs_cavi_indep,0.0012574396125402388,0.9333333333333333,0.12209317935436495,0.6698757934185854,0.946,0.9733333333333334,0.6666666666666666,0.0036312752108780114
1,5000,hs_cavi_corr,0.0012956432585897945,0.96,0.1429591583303819,0.6699998440838684,0.946,0.9733333333333334,0.8,0.0035882484666536515
1,5000,lasso_svi_indep,0.01533546393974568,0.5733333333333334,0.21287172740870322,0.7159883770789486,0.954,0.5135135135135135,0.6666666666666666,0.012318529698773164
1,5000,lasso_svi_corr,0.004796883587086595,0.9466666666666667,0.27761621406179826,0.6720796098989451,0.964,0.8508108108108108,1,0.004441301859267527
1,5000,lasso_cavi_indep,0.002291433731856979,0.8533333333333334,0.1491067724429302,0.672263525778432,0.946,0.8284684684684684,0.6666666666666666,0.003477475394903596
1,5000,lasso_cavi_corr,0.002297110386908896,0.9733333333333334,0.18894694692645692,0.6722721573022964,0.946,0.9473873873873874,0.9333333333333333,0.0034920974164715075
1,5000,ridge_svi_indep,0.012197157670819431,0.76,0.2427664586655309,0.6844986841905639,0.984,0.7275675675675676,0.6,0.027586160817747944
1,5000,ridge_svi_corr,0.0044965240580362815,0.96,0.2782794493919363,0.6793589820273376,0.964,0.8508108108108108,1,0.003463296891089185
1,5000,ridge_cavi_indep,0.002725436304632396,0.84,0.15373209365448506,0.6733479053965916,0.944,0.7657657657657657,0.8,0.004334680645250056
