sim_num,N,model_type,mse,coverage,ci_length,mspe,pred_cov,rand_ind,nz_coverage,nz_mse
9,5000,lasso_glm_1se,0.00649296468636985,NA,NA,0.7161542764651356,NA,0.9733333333333334,NA,0.03246481961886886
9,5000,lasso_glm_min,0.008829085288977075,NA,NA,0.7192482701769495,NA,0.5913513513513513,NA,0.04414542644488538
9,5000,ridge_glm_1se,0.009330659148501539,NA,NA,0.7216089275723985,NA,0.6756756756756757,NA,0.03716420504842794
9,5000,ridge_glm_min,0.008536503922721712,NA,NA,0.7204674572641709,NA,0.6756756756756757,NA,0.032839038639401304
8,5000,lasso_glm_1se,0.009931142327617524,NA,NA,0.7050076542534478,NA,0.8508108108108108,NA,0.04870825680052002
8,5000,lasso_glm_min,0.014383306475444037,NA,NA,0.7067393297901209,NA,0.6598198198198197,NA,0.0714850727772155
8,5000,ridge_glm_1se,0.011868668375052724,NA,NA,0.7060352311359521,NA,0.6756756756756757,NA,0.04504279931894437
8,5000,ridge_glm_min,0.01777077291566477,NA,NA,0.7085441232572346,NA,0.6756756756756757,NA,0.07644839617319005
7,5000,lasso_glm_1se,0.006454642399986278,NA,NA,0.6703957177245328,NA,0.8738738738738738,NA,0.032207930222662357
7,5000,lasso_glm_min,0.007542183316724278,NA,NA,0.6723450655478042,NA,0.4933333333333333,NA,0.03768600586517789
7,5000,ridge_glm_1se,0.01256348399057091,NA,NA,0.6704242007817492,NA,0.6756756756756757,NA,0.04891494355987392
7,5000,ridge_glm_min,0.011383251254355922,NA,NA,0.6688286911838982,NA,0.6756756756756757,NA,0.04270634933665222
6,5000,lasso_glm_1se,0.01621992238527486,NA,NA,0.7051591824424787,NA,0.9473873873873874,NA,0.08109961192637428
6,5000,lasso_glm_min,0.012295160382240369,NA,NA,0.7022719692841661,NA,0.569009009009009,NA,0.061448746117431535
6,5000,ridge_glm_1se,0.018230153623840943,NA,NA,0.7110118525360196,NA,0.6756756756756757,NA,0.07338665044419584
6,5000,ridge_glm_min,0.016681655217658346,NA,NA,0.7101324989310234,NA,0.6756756756756757,NA,0.06488398200008676
50,5000,lasso_glm_1se,0.012097439137271751,NA,NA,0.7081496558489415,NA,0.9221621621621622,NA,0.06047723772969236
50,5000,lasso_glm_min,0.019616217851709996,NA,NA,0.7109822730160025,NA,0.6598198198198197,NA,0.09808108925854997
50,5000,ridge_glm_1se,0.01751770980817144,NA,NA,0.7207919902309322,NA,0.6756756756756757,NA,0.07710893390742095
50,5000,ridge_glm_min,0.01587587920529563,NA,NA,0.7197084258206451,NA,0.6756756756756757,NA,0.06838091541159023
5,5000,lasso_glm_1se,0.007028740589558826,NA,NA,0.7202812649867305,NA,0.8508108108108108,NA,0.035065697238723416
5,5000,lasso_glm_min,0.007028740589558826,NA,NA,0.7202812649867305,NA,0.5135135135135135,NA,0.035065697238723416
5,5000,ridge_glm_1se,0.010050086293248352,NA,NA,0.7216183572411106,NA,0.6756756756756757,NA,0.03991375850743414
5,5000,ridge_glm_min,0.010946718230743571,NA,NA,0.7224498515936185,NA,0.6756756756756757,NA,0.04474760106394221
49,5000,lasso_glm_1se,0.005470775084945307,NA,NA,0.6792963518905125,NA,0.8976576576576577,NA,0.027353875424726535
49,5000,lasso_glm_min,0.004698405202414613,NA,NA,0.6775698912798048,NA,0.5798198198198199,NA,0.023492026012073064
49,5000,ridge_glm_1se,0.007547133665653421,NA,NA,0.677818130133065,NA,0.6756756756756757,NA,0.03283841163156523
49,5000,ridge_glm_min,0.0068225569668620804,NA,NA,0.6763525636993317,NA,0.6756756756756757,NA,0.029163618586720796
48,5000,lasso_glm_1se,0.010293924772935937,NA,NA,0.6972399551273591,NA,0.8738738738738738,NA,0.051436408706058416
48,5000,lasso_glm_min,0.010293924772935937,NA,NA,0.6972399551273591,NA,0.5084684684684685,NA,0.051436408706058416
48,5000,ridge_glm_1se,0.011155351321282116,NA,NA,0.7041161747859815,NA,0.6756756756756757,NA,0.04561757519892578
48,5000,ridge_glm_min,0.011155351321282116,NA,NA,0.7041161747859815,NA,0.6756756756756757,NA,0.04561757519892578
47,5000,lasso_glm_1se,0.0204313300540744,NA,NA,0.7016911059821868,NA,0.9473873873873874,NA,0.102156650270372
47,5000,lasso_glm_min,0.01827926079034873,NA,NA,0.6997339189805957,NA,0.6036036036036037,NA,0.09139630395174364
47,5000,ridge_glm_1se,0.016015879748483442,NA,NA,0.6990516988867692,NA,0.6756756756756757,NA,0.06820208923874899
47,5000,ridge_glm_min,0.01764935621950208,NA,NA,0.7004798520153572,NA,0.6756756756756757,NA,0.076824342896325
46,5000,lasso_glm_1se,0.013835903254277552,NA,NA,0.704915447910896,NA,0.8738738738738738,NA,0.06917951627138777
46,5000,lasso_glm_min,0.015299833431968595,NA,NA,0.706074831885406,NA,0.6598198198198197,NA,0.07649916715984298
46,5000,ridge_glm_1se,0.012142816697194067,NA,NA,0.7040803690914806,NA,0.6756756756756757,NA,0.050458126862305615
46,5000,ridge_glm_min,0.011076780010413654,NA,NA,0.7031954181190246,NA,0.6756756756756757,NA,0.04454143810638964
45,5000,lasso_glm_1se,0.00911507516781234,NA,NA,0.7239777207384359,NA,0.9733333333333334,NA,0.045575375839061696
45,5000,lasso_glm_min,0.010849417169272523,NA,NA,0.7257742423993118,NA,0.6922522522522523,NA,0.05424708584636262
45,5000,ridge_glm_1se,0.01964847514745079,NA,NA,0.7248689094613366,NA,0.6756756756756757,NA,0.08675715762006264
45,5000,ridge_glm_min,0.01576296951389423,NA,NA,0.7218722787859108,NA,0.6756756756756757,NA,0.06626629082696342
44,5000,lasso_glm_1se,0.021920974489271137,NA,NA,0.7063126962989427,NA,0.8976576576576577,NA,0.10960487244635568
44,5000,lasso_glm_min,0.0210296017703292,NA,NA,0.705704467536394,NA,0.7095495495495496,NA,0.105148008851646
44,5000,ridge_glm_1se,0.022758235125146985,NA,NA,0.7089512732099834,NA,0.6756756756756757,NA,0.09661919580262912
44,5000,ridge_glm_min,0.017373040032558126,NA,NA,0.7072237841080485,NA,0.6756756756756757,NA,0.06670615025509866
43,5000,lasso_glm_1se,0.004164694043487173,NA,NA,0.6733663762616817,NA,0.9221621621621622,NA,0.020823470217435868
43,5000,lasso_glm_min,0.005844739063230312,NA,NA,0.67735318634425,NA,0.6036036036036037,NA,0.02922369531615156
43,5000,ridge_glm_1se,0.00547620951086636,NA,NA,0.6761031869973088,NA,0.6756756756756757,NA,0.02119167797882044
43,5000,ridge_glm_min,0.0044488497427382185,NA,NA,0.6737112794246054,NA,0.6756756756756757,NA,0.015470739237998077
42,5000,lasso_glm_1se,0.030485501974057385,NA,NA,0.7461750349085263,NA,0.9473873873873874,NA,0.15242559469114822
42,5000,lasso_glm_min,0.019199001673183523,NA,NA,0.7416230886456961,NA,0.5913513513513513,NA,0.09578129348089502
42,5000,ridge_glm_1se,0.025799328142820665,NA,NA,0.7458901838513018,NA,0.6756756756756757,NA,0.10669331214493452
42,5000,ridge_glm_min,0.033980648518837815,NA,NA,0.7494869622459412,NA,0.6756756756756757,NA,0.1491658972268845
41,5000,lasso_glm_1se,0.009062118185253078,NA,NA,0.7197248261538397,NA,0.9733333333333334,NA,0.045213846632071876
41,5000,lasso_glm_min,0.0065118992523375985,NA,NA,0.717433437149632,NA,0.6302702702702703,NA,0.03230901765343352
41,5000,ridge_glm_1se,0.0097570273126931,NA,NA,0.7183744202856576,NA,0.6756756756756757,NA,0.036078334180772435
41,5000,ridge_glm_min,0.010809150112141097,NA,NA,0.719196859889131,NA,0.6756756756756757,NA,0.04170323889100593
40,5000,lasso_glm_1se,0.007895408504848897,NA,NA,0.732155802302786,NA,0.8508108108108108,NA,0.03943894953951469
40,5000,lasso_glm_min,0.011296818648417747,NA,NA,0.73412040791375055,NA,0.5798198198198199,NA,0.05648409324208873
40,5000,ridge_glm_1se,0.014813486102653215,NA,NA,0.7328988168973719,NA,0.6756756756756757,NA,0.06108286513847018
40,5000,ridge_glm_min,0.011151835625970975,NA,NA,0.7308397169415692,NA,0.6756756756756757,NA,0.042038098733386375
4,5000,lasso_glm_1se,0.01018284704910399,NA,NA,0.70095355312944585,NA,0.9221621621621622,NA,0.05081814035765562
4,5000,lasso_glm_min,0.01018284704910399,NA,NA,0.70095355312944585,NA,0.5257657657657657,NA,0.05081814035765562
4,5000,ridge_glm_1se,0.008395170505795243,NA,NA,0.704080301650089,NA,0.6756756756756757,NA,0.03240757646683068
4,5000,ridge_glm_min,0.010641342204527749,NA,NA,0.7063863821631948,NA,0.6756756756756757,NA,0.04410534905657341
39,5000,lasso_glm_1se,0.0033562856205465804,NA,NA,0.6956633028258676,NA,0.9733333333333334,NA,0.016781428102732903
39,5000,lasso_glm_min,0.0033562856205465804,NA,NA,0.6956633028258676,NA,0.6036036036036037,NA,0.016781428102732903
39,5000,ridge_glm_1se,0.006173483618913569,NA,NA,0.7037886513248248,NA,0.6756756756756757,NA,0.023183831134537928
39,5000,ridge_glm_min,0.005169839001270212,NA,NA,0.7015622291362892,NA,0.6756756756756757,NA,0.017387789309804457
38,5000,lasso_glm_1se,0.0068422434504551285,NA,NA,0.7033751393777541,NA,0.8508108108108108,NA,0.033842921868874845
38,5000,lasso_glm_min,0.014141624757258654,NA,NA,0.709363288722144,NA,0.5913513513513513,NA,0.07070812378629326
38,5000,ridge_glm_1se,0.013430740725655121,NA,NA,0.7131876135439043,NA,0.6756756756756757,NA,0.05255220181435951
38,5000,ridge_glm_min,0.016380935274025954,NA,NA,0.7155818659208658,NA,0.6756756756756757,NA,0.06838114529310674
37,5000,lasso_glm_1se,0.008509525975681321,NA,NA,0.6999943541141865,NA,0.9473873873873874,NA,0.042524113755664894
37,5000,lasso_glm_min,0.007239397876419059,NA,NA,0.6979583207874142,NA,0.5798198198198199,NA,0.03614601947748424
37,5000,ridge_glm_1se,0.008070088343132787,NA,NA,0.7006028666666198,NA,0.6756756756756757,NA,0.03468840047431377
