sim_num,N,model_type,mse,coverage,ci_length,mspe,pred_cov,rand_ind,nz_coverage,nz_mse
3,5000,hs_gibbs,0.0025371966322277483,0.9733333333333334,0.21307611535096718,0.6893801727854528,0.902,0.9473873873873874,0.8666666666666667,0.008273747696727134
3,5000,lasso_gibbs,0.004859977912885558,0.9333333333333333,0.2721576182953706,0.6885543572430015,0.902,0.8738738738738738,0.8666666666666667,0.007151986331233709
3,5000,ridge_gibbs,0.005971667488390596,0.92,0.29024464606830813,0.6907619544543835,0.906,0.8976576576576577,0.8,0.008391889921096837
2,5000,hs_gibbs,0.005355774868453489,0.9733333333333334,0.2919311225450044,0.7115526958029763,0.87,0.9473873873873874,0.8666666666666667,0.018179798656632412
2,5000,lasso_gibbs,0.009513144215912844,0.9066666666666666,0.3675743248343572,0.7079899461002223,0.884,0.8738738738738738,0.7333333333333333,0.018634097401955478
2,5000,ridge_gibbs,0.010710370840829193,0.9066666666666666,0.3869520154046729,0.7112254611665533,0.888,0.8508108108108108,0.8,0.018894300902511808
1,5000,hs_gibbs,0.0011461237357842922,0.9466666666666667,0.1306052892082987,0.6801456305441393,0.902,0.9473873873873874,0.7333333333333333,0.004309165221517816
1,5000,lasso_gibbs,0.002395181625137783,0.9333333333333333,0.17518224199862822,0.6777811230545534,0.908,0.8976576576576577,0.8666666666666667,0.004032986199600994
1,5000,ridge_gibbs,0.0028764520104527266,0.8933333333333333,0.18156341887539632,0.6817477852118426,0.894,0.8738738738738738,0.7333333333333333,0.0048635232718194695
3,1000,hs_gibbs,0.021661425344815636,0.9066666666666666,0.33738855858691513,0.6671009804070217,0.918,0.8284684684684684,0.5333333333333333,0.10537843021705429
3,1000,lasso_gibbs,0.019454046522205365,0.9333333333333333,0.49851621122444884,0.6693835172873486,0.918,0.8508108108108108,0.8,0.048935139563958376
3,1000,ridge_gibbs,0.023494235822562836,0.92,0.5255421382403246,0.6704631755373803,0.914,0.8068468468468468,0.8,0.04842919290004321
2,1000,hs_gibbs,0.0036764415662514315,0.9866666666666667,0.2653382394920978,0.6687054486252455,0.906,0.8508108108108108,1,0.011075006938986227
2,1000,lasso_gibbs,0.009267501555629358,0.9066666666666666,0.3487118094957067,0.6849920310498091,0.902,0.8068468468468468,1,0.009094373295681128
2,1000,ridge_gibbs,0.011996407851924929,0.8666666666666667,0.3614948979764277,0.686183313756399,0.906,0.7859459459459459,0.8666666666666667,0.011826231355533696
1,1000,hs_gibbs,0.004305360731541723,0.9733333333333334,0.3040607731448411,0.6818722643752444,0.93,0.9221621621621622,0.8666666666666667,0.01768025392664632
1,1000,lasso_gibbs,0.009614973798187983,0.9733333333333334,0.40457606013411196,0.6988486991459154,0.916,0.9473873873873874,0.8666666666666667,0.02035239712111685
1,1000,ridge_gibbs,0.016546890891507925,0.9466666666666667,0.4390741354293162,0.7082629190479459,0.93,0.9473873873873874,0.7333333333333333,0.04078598497831523
3,100,hs_gibbs,0.060706896572053304,0.9066666666666666,0.9938597118398798,0.710179565534379,0.87,0.7095495495495496,0.6,0.19516316909619544
3,100,lasso_gibbs,0.09280112225214233,0.9733333333333334,1.2454209803526766,0.7440835234857273,0.864,0.7275675675675676,0.9333333333333333,0.20354426863207908
3,100,ridge_gibbs,0.13812949367771588,0.9333333333333333,1.3093231011348785,0.764993247413968,0.886,0.7095495495495496,0.8,0.4442403205051573
2,100,hs_gibbs,0.07834368703807343,0.9466666666666667,0.8601681410003329,0.7936037843382067,0.876,0.7275675675675676,0.7333333333333333,0.37737010130150783
2,100,lasso_gibbs,0.08863537694730862,0.92,1.1719778050815783,0.8630330258440404,0.838,0.7463063063063062,0.7333333333333333,0.2784679277684857
2,100,ridge_gibbs,0.07475851691355363,0.9333333333333333,1.2169782855354665,0.8053342514563916,0.938,0.7463063063063062,0.7333333333333333,0.21868364060377624
1,100,hs_gibbs,0.077809996555842,0.9733333333333334,1.272882835564002,0.7723151173464732,0.85,0.7275675675675676,0.9333333333333333,0.187195420007206
1,100,lasso_gibbs,0.11487419795720936,0.96,1.5614259475446788,0.7851249087173641,0.864,0.7095495495495496,1,0.2243755199913818
1,100,ridge_gibbs,0.13000291391700267,0.96,1.3879836660882627,0.814100333905114,0.88,0.7657657657657657,0.8,0.48506544419274006
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
