sim_num,N,sim_type,model_type,mse,coverage,ci_length,auc_roc,auc_pr,ppv,rand
9,500,probit,hs_svi_indep,0.008563613261897012,0.86,0.10987205548080617,0.9588257575757576,0.7996932429158848,0.6571428571428571,0.8848979591836734
9,500,probit,hs_svi_corr,0.007489636246418145,0.86,0.13069722100835973,0.9589772727272727,0.7987523245693815,0.6666666666666666,0.8848979591836734
9,500,probit,hs_cavi_indep,0.009024640442667138,0.86,0.10957383466145836,0.9589772727272727,0.7986274419315308,0.6666666666666666,0.8848979591836734
9,500,probit,hs_cavi_corr,0.008595753980531763,0.86,0.13025244965790686,0.9586742424242424,0.7985006346740428,0.676923076923077,0.8848979591836734
9,500,probit,lasso_svi_indep,0.019387185197710394,0.76,0.1606372910557396,0.9514772727272727,0.781274438410012,0.6521739130434783,0.8497959183673469
9,500,probit,lasso_svi_corr,0.015334320796198203,0.76,0.20761532473254685,0.9487121212121212,0.7767593818105635,0.7049180327868853,0.7844897959183673
9,500,probit,lasso_cavi_indep,0.01890383176295169,0.7,0.16217554158346956,0.9491287878787878,0.7751550324496139,0.676923076923077,0.7542857142857142
9,500,probit,lasso_cavi_corr,0.014373183358912776,0.72,0.20729502083584644,0.9487121212121212,0.7760062912780735,0.676923076923077,0.7542857142857142
9,500,probit,ridge_svi_indep,0.035209527186421126,0.62,0.17301086985425027,0.9396212121212121,0.7481713344935461,0.6086956521739131,0.6734693877551021
9,500,probit,ridge_svi_corr,0.03352599260781542,0.66,0.22904289484201007,0.936969696969697,0.7398881362818727,0.6081081081081081,0.6987755102040816
9,500,probit,ridge_cavi_indep,0.037993651307958905,0.62,0.17281540635499318,0.9370454545454545,0.7411362811643538,0.589041095890411,0.6734693877551021
9,500,probit,ridge_cavi_corr,0.0357802263112957,0.66,0.22791101610549405,0.9374242424242424,0.7412513950336436,0.5945945945945946,0.6987755102040816
8,500,probit,hs_svi_indep,0.007050681460981634,0.82,0.10159743701300823,0.961046295848058,0.9696958839834436,0.8431372549019608,0.8848979591836734
8,500,probit,hs_svi_corr,0.006153733763880969,0.82,0.12230743844153508,0.9609494763679786,0.9696511300321363,0.8471760797342193,0.8848979591836734
8,500,probit,hs_cavi_indep,0.006725989653721798,0.82,0.10101839626838091,0.9610301592680447,0.969658954196416,0.8509933774834437,0.8848979591836734
8,500,probit,hs_cavi_corr,0.006407907992199488,0.82,0.1205866525780677,0.9608849300479256,0.9695432263696745,0.8614864864864865,0.8848979591836734
8,500,probit,lasso_svi_indep,0.007773303207271683,0.82,0.16398879064556607,0.960771973987833,0.9695200568283816,0.8595890410958904,0.8497959183673469
8,500,probit,lasso_svi_corr,0.008866580212737804,0.8,0.21252049911463247,0.9585935356860467,0.967949638412347,0.8527397260273972,0.7844897959183673
8,500,probit,lasso_cavi_indep,0.009633757699390576,0.72,0.16545684489716614,0.9588678575462717,0.968155059326379,0.8561643835616438,0.6987755102040816
8,500,probit,lasso_cavi_corr,0.008140755554636898,0.8,0.21311965047928985,0.9587064917461393,0.9680344256146084,0.8561643835616438,0.7844897959183673
8,500,probit,ridge_svi_indep,0.022196360830418847,0.54,0.17573049691690515,0.9523325426409127,0.963370137030347,0.8361204013377926,0.5420408163265307
8,500,probit,ridge_svi_corr,0.023203726301145998,0.62,0.2349491355925985,0.9508318406996821,0.9621230458954152,0.8487972508591065,0.6073469387755102
8,500,probit,ridge_cavi_indep,0.0240855076506565,0.52,0.17544659116215214,0.9516709428603701,0.9628832164071841,0.8493150684931506,0.529795918367347
8,500,probit,ridge_cavi_corr,0.023884036935815832,0.66,0.23403620503708042,0.9514934404802247,0.9627211974085564,0.8366666666666667,0.649795918367347
7,500,probit,hs_svi_indep,0.020186609363623098,0.86,0.0971963453428572,0.9437213970976029,0.9646155820016863,0.8865030674846626,0.7844897959183673
7,500,probit,hs_svi_corr,0.016795111571962378,0.86,0.12551239393703306,0.948365912996138,0.9679407646970204,0.8682634730538922,0.7844897959183673
7,500,probit,hs_cavi_indep,0.02203125817459375,0.86,0.08984658474947302,0.9431939978563773,0.964379518682203,0.878419452887538,0.8163265306122449
7,500,probit,hs_cavi_corr,0.01958981875765025,0.86,0.1149247662654264,0.9456608652750131,0.9660612882319832,0.8734939759036144,0.7844897959183673
7,500,probit,lasso_svi_indep,0.017139044096897805,0.82,0.15922749888482837,0.9530954932884194,0.970942466598945,0.8964401294498382,0.8163265306122449
7,500,probit,lasso_svi_corr,0.016165521421490175,0.84,0.20306912977152358,0.953861072832134,0.9713380121034948,0.8938906752411575,0.7844897959183673
7,500,probit,lasso_cavi_indep,0.017385884943491088,0.8,0.1600315674285248,0.9525680940471938,0.970639533151355,0.8913738019169329,0.7844897959183673
7,500,probit,lasso_cavi_corr,0.015956357486561885,0.84,0.20356215732183497,0.9531805576821654,0.9709522546374174,0.8913738019169329,0.8163265306122449
7,500,probit,ridge_svi_indep,0.023611804676652366,0.68,0.17348796473579395,0.9513601796559996,0.9697086496314857,0.9072847682119205,0.649795918367347
7,500,probit,ridge_svi_corr,0.02389080955718129,0.72,0.2311315275599859,0.9511390122322598,0.9696483111816637,0.8964401294498382,0.649795918367347
7,500,probit,ridge_cavi_indep,0.025024487472825933,0.68,0.17334478340535545,0.9510369349597645,0.9695572049375477,0.9072847682119205,0.649795918367347
7,500,probit,ridge_cavi_corr,0.02455781678564253,0.76,0.23020331307045888,0.9511730379897583,0.96962180979311,0.9069767441860465,0.6987755102040816
6,500,probit,hs_svi_indep,0.018060752199569992,0.82,0.10423606610075636,0.9787307711332047,0.9716487517086259,0.9033816425120773,0.9216326530612244
6,500,probit,hs_svi_corr,0.013871212771700737,0.82,0.12361297437930306,0.9785329178414206,0.9713925580135602,0.9033816425120773,0.9216326530612244
6,500,probit,hs_cavi_indep,0.01843340072074815,0.82,0.10387311378366404,0.9789121366506736,0.9719684362850116,0.9029126213592233,0.9216326530612244
6,500,probit,hs_cavi_corr,0.01723379392936509,0.82,0.12321953073141118,0.9784010156468979,0.9712457673916078,0.9024390243902439,0.9216326530612244
6,500,probit,lasso_svi_indep,0.039199050727810617,0.74,0.16281166956638998,0.9741966331964848,0.9659133660933491,0.8617511520737328,0.7844897959183673
6,500,probit,lasso_svi_corr,0.03209650433301582,0.7,0.21023955728871688,0.9718553692437057,0.9631628757325252,0.8551401869158879,0.7257142857142858
6,500,probit,lasso_cavi_indep,0.040565548701462034,0.72,0.16335984109559812,0.9725643435392657,0.9639470840334942,0.8545454545454545,0.7542857142857142
6,500,probit,lasso_cavi_corr,0.03092162125885521,0.72,0.2100777785310834,0.9720202469868593,0.963218863433482,0.8558139534883721,0.7542857142857142
6,500,probit,ridge_svi_indep,0.05690141753736496,0.6,0.17461379425584844,0.9659197704901815,0.9562568940974616,0.832579185520362,0.6277551020408163
6,500,probit,ridge_svi_corr,0.05252766382446861,0.66,0.23383487919112486,0.9657384049727127,0.9557150177465986,0.8409090909090909,0.6987755102040816
6,500,probit,ridge_cavi_indep,0.059895204263861336,0.56,0.17447970355892348,0.9656394783268206,0.9554173928791445,0.8209606986899564,0.5885714285714285
6,500,probit,ridge_cavi_corr,0.05741271194814066,0.66,0.23327086635912145,0.9657878682956588,0.9558209729815067,0.8209606986899564,0.6734693877551021
50,500,probit,hs_svi_indep,0.003172838049969907,0.88,0.11723645184812945,0.9487423258512061,0.9567534698591028,0.8652482269503546,0.9216326530612244
50,500,probit,hs_svi_corr,0.0032147140321641646,0.9,0.1465127326983455,0.9491129409110685,0.9571580092750666,0.856140350877193,0.96
50,500,probit,hs_cavi_indep,0.003440024514935847,0.9,0.11760428529314478,0.9491773957040881,0.9570843531510052,0.8636363636363636,0.96
